Date,Sentiment_Score,Tweet_Volume,Open,High,Low,Close,Log_Returns
2018-01-02 09:00:00,0.09296499999999999,11,7687.77,7691.34,7658.87,7671.45,-0.00040678550057733333
2018-01-02 10:00:00,0.1467625,9,7671.43,7671.59,7658.74,7668.33,-0.002193232410005765
2018-01-02 11:00:00,0.06815454545454545,14,7668.35,7670.22,7650.3,7651.53,0.00011108272341826913
2018-01-02 12:00:00,0.09064285714285716,7,7651.44,7655.46,7644.68,7652.38,-0.0003894971745345992
2018-01-02 13:00:00,0.46328,6,7652.45,7656.98,7644.53,7649.4,-0.0007297351699142928
2018-01-02 14:00:00,0.20485,7,7649.48,7650.89,7642.62,7643.82,-0.0018135647794127567
2018-01-02 15:00:00,0.22217878787878786,14,7643.8,7651.42,7624.14,7629.97,0.0010283087063323799
2018-01-02 16:00:00,0.22233124999999998,9,7629.86,7656.33,7629.65,7637.82,0.0013450288304268584
2018-01-02 17:00:00,0.12589166666666665,17,7637.83,7648.1,7632.58,7648.1,-0.00031516060047235406
2018-01-03 09:00:00,0.08227916666666665,16,7648.1,7663.29,7640.53,7645.69,0.00026024349260253066
2018-01-03 10:00:00,0.11184848484848485,14,7645.67,7652.71,7643.55,7647.68,-0.00032302593185171846
2018-01-03 11:00:00,0.0528,12,7647.67,7654.53,7642.83,7645.21,0.0008420029183086403
2018-01-03 12:00:00,0.24129,11,7645.2,7653.39,7645.17,7651.65,-0.0007020557971652993
2018-01-03 13:00:00,0.240475,7,7651.63,7653.49,7644.64,7646.28,0.0011005832109991505
2018-01-03 14:00:00,-0.033966666666666666,4,7646.36,7656.7,7644.66,7654.7,0.0017138166104096306
2018-01-03 15:00:00,0.414975,4,7654.65,7671.82,7654.41,7667.83,0.0013775372415866045
2018-01-03 16:00:00,0.08465,10,7667.77,7689.86,7667.77,7678.4,-0.0009498675264703725
2018-01-03 17:00:00,0.09658888888888889,11,7678.43,7678.43,7670.48,7671.11,0.0009759142803951169
2018-01-04 09:00:00,0.11890384615384615,15,7671.11,7698.48,7671.11,7678.6,0.0005194910146586512
2018-01-04 10:00:00,0.0019702898550724647,29,7678.59,7688.9,7678.45,7682.59,-0.0011552255700037594
2018-01-04 11:00:00,0.2179964285714286,15,7682.58,7682.61,7672.94,7673.72,9.642837138650547e-05
2018-01-04 12:00:00,0.31586851851851855,20,7673.7,7679.65,7671.43,7674.46,0.000808850245952825
2018-01-04 13:00:00,0.015474999999999994,12,7674.5,7684.1,7671.14,7680.67,0.0011177670808344424
2018-01-04 14:00:00,-0.06616000000000001,5,7680.69,7689.32,7680.69,7689.26,0.0016308161526725879
2018-01-04 15:00:00,0.09723076923076923,14,7689.3,7701.83,7688.95,7701.81,-0.0007780418547751745
2018-01-04 16:00:00,0.18923636363636362,12,7701.8,7702.51,7691.66,7695.82,7.796409753398473e-06
2018-01-04 17:00:00,0.014566666666666667,14,7695.75,7697.47,7690.67,7695.88,0.0015204369217925312
2018-01-05 09:00:00,0.0951142857142857,8,7695.88,7709.24,7689.81,7707.59,0.0009700013598815297
2018-01-05 10:00:00,0.18989722222222225,21,7707.64,7715.94,7707.28,7715.07,0.0007450170046509501
2018-01-05 11:00:00,0.0513625,16,7715.09,7724.03,7714.4,7720.82,0.0008712893885573736
2018-01-05 12:00:00,0.2328923076923077,14,7720.89,7727.66,7718.82,7727.55,-0.00136229041216395
2018-01-05 13:00:00,0.38925,2,7727.59,7727.73,7716.35,7717.03,-0.0009658636057008459
2018-01-05 14:00:00,-0.0194375,8,7717.01,7717.66,7707.31,7709.58,-8.301704707942764e-05
2018-01-05 15:00:00,0.1995428571428571,8,7709.57,7714.97,7698.67,7708.94,-0.00017513668814581203
2018-01-05 16:00:00,0.18720416666666664,13,7708.97,7711.56,7701.29,7707.59,0.0021552891640800125
2018-01-05 17:00:00,0.011681818181818187,11,7707.64,7724.22,7706.85,7724.22,-0.0009649641089195353
2018-01-08 09:00:00,-0.07215384615384615,15,7724.22,7733.39,7712.16,7716.77,0.0015214997279730704
2018-01-08 10:00:00,0.18791666666666665,14,7716.75,7729.48,7716.69,7728.52,-0.0009644269624565476
2018-01-08 11:00:00,0.0448,9,7728.47,7728.47,7719.14,7721.07,-8.159823752333488e-05
2018-01-08 12:00:00,0.27624000000000004,13,7721.05,7728.52,7720.37,7720.44,-0.0014517477960744353
2018-01-08 13:00:00,0.04420999999999999,10,7720.43,7720.56,7705.29,7709.24,0.0009503553527094047
2018-01-08 14:00:00,-0.16865,3,7709.21,7717.35,7708.6,7716.57,-0.0020366552977563704
2018-01-08 15:00:00,-0.03935714285714286,7,7716.55,7717.57,7697.33,7700.87,-0.001062782198522904
2018-01-08 16:00:00,0.005883333333333333,10,7700.97,7701.84,7692.11,7692.69,0.0004964520674834712
2018-01-08 17:00:00,0.22498333333333334,12,7692.7,7699.7,7691.77,7696.51,0.0034631013643020214
2018-01-09 09:00:00,0.08925454545454546,12,7696.51,7729.35,7696.5,7723.21,-0.0003781526253500408
2018-01-09 10:00:00,0.265,16,7723.23,7725.29,7716.96,7720.29,0.0006603788483697284
2018-01-09 11:00:00,0.2826888888888889,9,7720.26,7732.28,7718.6,7725.39,0.00011519790430200329
2018-01-09 12:00:00,0.3297,9,7725.4,7729.12,7721.88,7726.28,-0.00013073122132567698
2018-01-09 13:00:00,0.14343125,9,7726.26,7730.87,7721.7,7725.27,0.0008216401044758007
2018-01-09 14:00:00,0.14653333333333332,6,7725.32,7732.65,7724.05,7731.62,-0.0016737532151215703
2018-01-09 15:00:00,0.1733,7,7731.68,7733.12,7718.33,7718.69,0.0010255547893744553
2018-01-09 16:00:00,-0.01976666666666668,12,7718.63,7730.16,7716.42,7726.61,0.00057059201438379
2018-01-09 17:00:00,-0.008399999999999993,11,7726.58,7731.34,7725.2,7731.02,0.0006749741322226228
2018-01-10 09:00:00,0.06327333333333333,15,7731.02,7747.2,7719.82,7736.24,0.002235021547193492
2018-01-10 10:00:00,0.16546153846153844,15,7736.17,7755.12,7735.94,7753.55,-0.004506142483174472
2018-01-10 11:00:00,0.24071,16,7753.56,7756.11,7716.21,7718.69,0.0016685796417344571
